"Bidder Name","Company Name","Bid Amount","Description","Evaluation Score","Comment"
"jasmine","Tender","4000","qwertyuio","0.00",""
"priti desai","xyz","5000","asd","0.00",""
"priti desai","sdfgbqwer","5000","asdfgy654ew","0.00",""
"priti desai","sdfgbqwer","5000","sdew","0.00",""
"asd","aswdefg","5000","asd","0.00",""
"cgvhjnin","gyghi","5000","fghujiki","0.00",""
"Priti Desai ","IBM","9000","qwertyuiopsdfghjkl","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","10000","ghj","0.00",""
"priti desai","sdfgbqwer","234565","sdew","0.00",""
"priti desai","dfghjk","345676","sdfghjk","0.00",""
"priti desai","dfghjk","345676","sdfghjk","0.00",""
"priti desai","dfghjk","345676","sdfghjk","0.00",""
"cfghjk","dfghjk","345676","gvbhnjkm,l","0.00",""
"fghjk","dfghjk","345676","gvbhnjkm,l","0.00",""
"vgbhnjkm,l.","drftgyhujik","3456787","dfghjklghj","0.00",""
"vbnmk","drftgyhujik","3456787","gvbhnjkm,l","0.00",""
"priti desai","vgbhnjkm","34567890","drftgyhuijk","0.00",""
"cfgvbhnj","bhnjkm","34567890","vbuniml","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","10000000000","dfgh","0.00",""
"sdxcfgvbhnjk","dfcgvhbjnkl","34567987654","xcvbhjnkmlkn","0.00",""
"dfghjkl","dfgbn","34567987654","cfgvbhnj","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","10000000000000000","sdfgbhn","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","100000000000000000","dfghj","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","100000000000000000","sdfgbnasdcfv","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","1e+27","fnm,","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","1e+35","dfghjk","0.00",""
"Aadarsh Venkatesh Nandedkar","Walchand College Of Engineering , Sangli","1e+138","dfdgygu8","0.00",""
